horizon,model,baseline_rank_score,baseline_composite_score,baseline_balanced_accuracy,baseline_f1,baseline_spearman_ic,baseline_r2,baseline_strategy_sharpe,baseline_strategy_total_return,baseline_strategy_max_drawdown,tuned_rank_score,tuned_composite_score,tuned_balanced_accuracy,tuned_f1,tuned_spearman_ic,tuned_r2,tuned_strategy_sharpe,tuned_strategy_total_return,tuned_strategy_max_drawdown,delta_rank_score,delta_composite_score,delta_balanced_accuracy,delta_f1,delta_spearman_ic,delta_r2,delta_strategy_sharpe,delta_strategy_total_return,delta_strategy_max_drawdown,improved_rank_score,improved_composite_score,candidate_id,is_baseline_candidate,selected_params,cv_score,cv_score_std,fit_seconds
5,CatBoost,0.625,0.5645241854065386,0.5146686676082862,0.6617038875103392,-0.010692103004574209,-0.041199364516848025,0.7431217456918728,0.46575036682320614,-0.18890795579983233,0.475,0.54854020252094,0.5016257650659134,0.6430976430976431,0.004642962934650702,-0.026899311441204832,0.510108413822108,0.2779126704761812,-0.18808553280580242,-0.15000000000000002,-0.015983982885598547,-0.013042902542372836,-0.018606244412696094,0.015335065939224912,0.014300053075643193,-0.2330133318697648,-0.18783769634702496,0.0008224229940299033,False,False,2.0,False,"{""depth"": 4, ""iterations"": 360, ""l2_leaf_reg"": 5.0, ""learning_rate"": 0.025}",0.5676955914479995,0.020310242938450535,2.3423390779998954
5,HMM Regime,0.775,0.5901393160144747,0.5356932674199624,0.6066350710900474,0.04785058793582302,-0.06089713667076313,1.514779742248166,0.8484825965802434,-0.09429888901556172,0.75,0.5901393160144747,0.5356932674199624,0.6066350710900474,0.04785058793582302,-0.06089713667076313,1.514779742248166,0.8484825965802434,-0.09429888901556172,-0.025000000000000022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,0.0,True,"{""covariance_type"": ""diag"", ""n_components"": 4, ""n_iter"": 400}",0.5832341207555009,0.025792631163676603,0.6408859880000364
5,LightGBM,0.275,0.5367411540472342,0.49545374293785316,0.6258620689655172,-0.05075252467770313,-0.0889352452549994,0.5091138730615422,0.2832783502022358,-0.18107254576205256,0.275,0.5344165490093462,0.4942325800376648,0.6308610400682012,-0.08602528373835529,-0.10920149906764265,0.5305643256718717,0.30420499853537564,-0.19856983167505127,0.0,-0.0023246050378880057,-0.0012211629001883662,0.004998971102683991,-0.03527275906065216,-0.020266253812643242,0.021450452610329518,0.02092664833313984,-0.017497285912998706,False,False,2.0,False,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.02, ""max_depth"": 5, ""n_estimators"": 360, ""num_leaves"": 20, ""reg_lambda"": 4.0, ""subsample"": 0.8}",0.5469595757570999,0.022599716725385265,2.4958497089999128
5,MACD 12-26-9,0.7,0.5573623378317037,0.518442502354049,0.5725490196078431,0.02544871830488099,-0.006556579306523869,0.9119070232840213,0.42741903608325105,-0.17791181053636862,0.675,0.5573623378317037,0.518442502354049,0.5725490196078431,0.02544871830488099,-0.006556579306523869,0.9119070232840213,0.42741903608325105,-0.17791181053636862,-0.02499999999999991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,,,,,,
5,Random Forest,0.625,0.563478291642052,0.5172507650659134,0.6496598639455783,0.012597071629949275,-0.022021386490397754,0.6788939003780732,0.39935095251297614,-0.18659291781863274,0.675,0.563478291642052,0.5172507650659134,0.6496598639455783,0.012597071629949275,-0.022021386490397754,0.6788939003780732,0.39935095251297614,-0.18659291781863274,0.050000000000000044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,0.0,True,"{""max_depth"": 7, ""min_samples_leaf"": 20, ""n_estimators"": 350}",0.5977819322980641,0.023047983643215943,7.465737512000032
5,SVC,0.8,0.577078006574903,0.5217381709039548,0.6530612244897959,0.03607155753955526,-0.0577066505849293,0.946990430848849,0.5794646635703316,-0.16626685615711911,0.825,0.5858453628817527,0.5283295080037664,0.6610312764158918,0.03909437765420072,-0.04195570117165737,1.0802569634760082,0.674602118339181,-0.140298835822385,0.02499999999999991,0.00876735630684966,0.006591337099811634,0.0079700519260959,0.0030228201146454622,0.01575094941327193,0.13326653262715915,0.0951374547688495,0.02596802033473411,True,True,1.0,False,"{""C"": 0.5, ""gamma"": ""scale""}",0.5849937803275407,0.027133477377879175,3.510810687000003
5,SVR,0.2,0.5115750794023491,0.4898334510357816,0.530241935483871,0.003926747457209485,-1.054919157041812,0.2603666917708995,0.10385480374235678,-0.1553767939218873,0.325,0.5235141599205624,0.5163753531073446,0.5358255451713395,0.03595565548158919,-1.0659672266140405,0.14383617679059701,0.03795861846172133,-0.13809620206333806,0.125,0.011939080518213241,0.02654190207156304,0.005583609687468516,0.0320289080243797,-0.011048069572228592,-0.11653051498030248,-0.06589618528063546,0.017280591858549244,True,True,3.0,False,"{""C"": 5.0, ""epsilon"": 0.005, ""gamma"": 0.03}",0.5229661483009523,0.027756877325863134,4.304281955000079
5,XGBoost,0.5,0.5592132509904001,0.50080920433145,0.6724821570182395,-0.012307104717606253,-0.06440274873461771,0.7107004751362903,0.4713396212341716,-0.21203714173962462,0.5,0.5544434732772698,0.49496086393596983,0.6760343481654957,-0.007812673778841723,-0.05172695488254475,0.6127588752842641,0.3894219695104486,-0.22227382796146267,0.0,-0.004769777713130252,-0.0058483403954802116,0.003552191147256134,0.00449443093876453,0.012675793852072959,-0.09794159985202622,-0.081917651723723,-0.010236686221838043,False,False,2.0,False,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.025, ""max_depth"": 3, ""n_estimators"": 320, ""reg_lambda"": 4.0, ""subsample"": 0.8}",0.5521007373838942,0.01608570148741907,1.4724591130000135
20,CatBoost,0.55,0.5536596032819388,0.5338530435393117,0.6455026455026455,-0.10584048799522168,-0.1529455847215624,0.5439394436127412,0.29953530486226,-0.18107254576205245,0.525,0.5379542123161404,0.5102128321113708,0.6215494211932324,-0.04797583207455458,-0.111966879850252,0.37351303865961505,0.18097994362741687,-0.19692261992102267,-0.025000000000000022,-0.01570539096579837,-0.023640211427940927,-0.023953224309413046,0.0578646559206671,0.04097870487131039,-0.1704264049531261,-0.11855536123484312,-0.015850074158970218,False,False,1.0,False,"{""depth"": 3, ""iterations"": 220, ""l2_leaf_reg"": 4.0, ""learning_rate"": 0.05}",0.5204109654821256,0.029092061599941266,1.0765565329998026
20,HMM Regime,0.575,0.5587657897657272,0.4908653701493435,0.5827937095282146,-0.016476413710200644,-0.10890417467159774,1.514779742248166,0.8484825965802434,-0.09429888901556172,0.625,0.5420554654443431,0.48358374371884494,0.575139146567718,0.050424712457837265,-0.020991650443382914,0.8274550025757671,0.389430241893842,-0.1647333557060101,0.050000000000000044,-0.016710324321384085,-0.007281626430498567,-0.0076545629604966026,0.06690112616803791,0.08791252422821483,-0.6873247396723988,-0.4590523546864014,-0.0704344666904484,True,False,3.0,False,"{""covariance_type"": ""tied"", ""n_components"": 4, ""n_iter"": 400}",0.5966092149316258,0.010947489874812965,2.198160590999805
20,LightGBM,0.5,0.5491954073442635,0.5311625527817618,0.6299638989169675,-0.01881640131279933,-0.188045062274401,0.2971300855598655,0.12687797107423204,-0.20923962949143515,0.55,0.5491954073442635,0.5311625527817618,0.6299638989169675,-0.01881640131279933,-0.188045062274401,0.2971300855598655,0.12687797107423204,-0.20923962949143515,0.050000000000000044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,0.0,True,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.025, ""max_depth"": 4, ""n_estimators"": 300, ""num_leaves"": 15, ""reg_lambda"": 2.0, ""subsample"": 0.85}",0.5255850903707446,0.03618497215369969,2.2011438380000072
20,MACD 12-26-9,0.8,0.5694904953229273,0.5328651093748433,0.5965583173996176,0.033809966039991826,-0.012993987332969859,0.9119070232840213,0.42741903608325105,-0.17791181053636862,0.8,0.5694904953229273,0.5328651093748433,0.5965583173996176,0.033809966039991826,-0.012993987332969859,0.9119070232840213,0.42741903608325105,-0.17791181053636862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,,,,,,
